codingre,descrip,familia,unidad,empaque,equivale,inventa1,stockmax,stockmin,ultcosto,costoprome,impuesto,pedido,status
"0002","paprika","ABARR","GR","",1000.00,0.00,10.00,0.00,409.14,409.14,0.00,0.000,""
"0003","chile jalape¤o lata","ABARR","GG","",1000.00,0.00,10.00,0.00,102.27,102.27,0.00,0.000,""
"0004","jugo maggi","ABARR","GR","",1000.00,0.00,10.00,0.00,236.02,236.02,0.00,0.000,""
"0005","aceite de ajonjoli","ABARR","GR","",1000.00,0.00,10.00,0.00,307.79,307.79,0.00,0.000,""
"0006","salsa inglesa","ABARR","GR","",1000.00,0.00,10.00,0.00,132.06,132.06,0.00,0.000,""
"0007","almendra entera","ABARR","GR","",1000.00,0.00,10.00,0.00,241.80,241.80,0.00,0.000,""
"0008","vino rosado cocina","ABARR","GR","",1000.00,0.00,10.00,0.00,132.18,132.18,0.00,0.000,""
"0009","croutones","ABARR","GR","",1000.00,0.00,10.00,0.00,157.00,157.00,0.00,0.000,""
"0010","jarabe granadina","ABARR","GR","",1000.00,0.00,10.00,0.00,50.92,50.92,0.00,0.000,""
"0011","aceite de oliva","ABARR","GR","",1000.00,0.00,10.00,0.00,117.50,117.50,0.00,0.000,""
"0012","arandano deshidratado","ABARR","GR","",1000.00,0.00,10.00,0.00,152.87,152.87,0.00,0.000,""
"0013","mostaza dijon","ABARR","GR","",1000.00,0.00,10.00,0.00,203.69,203.69,0.00,0.000,""
"0014","salsa de soya","ABARR","GG","",1000.00,0.00,10.00,0.00,119.05,119.05,0.00,0.000,""
"0015","salsa teriyaki","ABARR","GR","",1000.00,0.00,10.00,0.00,44.45,44.45,0.00,0.000,""
"0016","cajeta","ABARR","GR","",1000.00,0.00,10.00,0.00,78.50,78.50,0.00,0.000,""
"0017","leche evaporada","ABARR","GR","",1000.00,0.00,10.00,0.00,38.00,38.00,0.00,0.000,""
"0018","aceite vegetal","ABARR","GR","",1000.00,0.00,10.00,0.00,28.70,28.70,0.00,0.000,""
"0019","sal fina","ABARR","GR","",1000.00,0.00,10.00,0.00,12.50,12.50,0.00,0.000,""
"0020","tostada charra","ABARR","GR","",1000.00,0.00,10.00,0.00,1.61,1.61,0.00,0.000,""
"0021","mayonesa","ABARR","GR","",1000.00,0.00,10.00,0.00,64.39,64.39,0.00,0.000,""
"0022","salsa catsup","ABARR","GR","",1000.00,0.00,10.00,0.00,61.21,61.21,0.00,0.000,""
"0023","vinagre blanco","ABARR","GR","",1000.00,0.00,10.00,0.00,8.41,8.41,0.00,0.000,""
"0024","leche entera","ABARR","GR","",1000.00,0.00,10.00,0.00,17.76,17.76,0.00,0.000,""
"0025","almendra en polvo","ABARR","GR","",1000.00,0.00,10.00,0.00,200.00,200.00,0.00,0.000,""
"0026","arroz blanco","ABARR","GR","",1000.00,0.00,10.00,0.00,26.60,26.60,0.00,0.000,""
"0027","azucar glass","ABARR","GR","",1000.00,0.00,10.00,0.00,33.50,33.50,0.00,0.000,""
"0028","azucar refinada","ABARR","GR","",1000.00,0.00,10.00,0.00,21.00,21.00,0.00,0.000,""
"0029","cacahuate","ABARR","GR","",1000.00,0.00,10.00,0.00,60.00,60.00,0.00,0.000,""
"0030","calahua crema coco","ABARR","GR","",1000.00,0.00,10.00,0.00,50.00,50.00,0.00,0.000,""
"0031","canela en rama","ABARR","GR","",1000.00,0.00,10.00,0.00,450.00,450.00,0.00,0.000,""
"0032","chile chipotle adob","ABARR","GR","",1000.00,0.00,10.00,0.00,66.94,66.94,0.00,0.000,""
"0033","chocolate cober osc","ABARR","GR","",1000.00,0.00,10.00,0.00,146.54,146.54,0.00,0.000,""
"0034","chongos zamoranos","ABARR","GR","",1000.00,0.00,10.00,0.00,80.77,80.77,0.00,0.000,""
"0035","churros","ABARR","GR","",1000.00,0.00,10.00,0.00,7.32,7.32,0.00,0.000,""
"0036","cocadas","ABARR","GR","",1000.00,0.00,10.00,0.00,2.75,2.75,0.00,0.000,""
"0037","coco rayado","ABARR","GR","",1000.00,0.00,10.00,0.00,36.00,36.00,0.00,0.000,""
"0038","crema balsamica","ABARR","GR","",1000.00,0.00,10.00,0.00,90.00,90.00,0.00,0.000,""
"0039","crema batida","ABARR","GR","",1000.00,0.00,10.00,0.00,244.56,244.56,0.00,0.000,""
"0040","especias cajun","ABARR","GR","",1000.00,0.00,10.00,0.00,365.03,365.03,0.00,0.000,""
"0041","frijol pinto","ABARR","GR","",1000.00,0.00,10.00,0.00,37.00,37.00,0.00,0.000,""
"0042","galleta de animalito","ABARR","GR","",1000.00,0.00,10.00,0.00,12.89,12.89,0.00,0.000,""
"0043","glucosa","ABARR","GR","",1000.00,0.00,10.00,0.00,48.00,48.00,0.00,0.000,""
"0044","grenetina","ABARR","GR","",1000.00,0.00,10.00,0.00,162.00,162.00,0.00,0.000,""
"0045","guayaba almibar","ABARR","GR","",1000.00,0.00,10.00,0.00,50.00,50.00,0.00,0.000,""
"0046","harina de trigo","ABARR","GR","",1000.00,0.00,10.00,0.00,11.10,11.10,0.00,0.000,""
"0047","jugo guayaba","ABARR","GR","",1000.00,0.00,10.00,0.00,13.90,13.90,0.00,0.000,""
"0048","leche condensada","ABARR","GR","",1000.00,0.00,10.00,0.00,55.63,55.63,0.00,0.000,""
"0049","levadura fresca","ABARR","GR","",1000.00,0.00,10.00,0.00,41.50,41.50,0.00,0.000,""
"0050","mazapan","ABARR","GG","",1000.00,0.00,10.00,0.00,3.45,3.45,0.00,0.000,""
"0051","miel de abeja","ABARR","GR","",1000.00,0.00,10.00,0.00,123.33,123.33,0.00,0.000,""
"0052","mostaza amarilla","ABARR","GR","",1000.00,0.00,10.00,0.00,76.71,76.71,0.00,0.000,""
"0053","nutella","ABARR","GR","",1000.00,0.00,10.00,0.00,150.53,150.53,0.00,0.000,""
"0054","pasta fideo","ABARR","GR","",1000.00,0.00,10.00,0.00,26.67,26.67,0.00,0.000,""
"0055","pasta spaghetti","ABARR","GR","",1000.00,0.00,10.00,0.00,26.67,26.67,0.00,0.000,""
"0056","pepita de girasol","ABARR","GR","",1000.00,0.00,10.00,0.00,54.00,54.00,0.00,0.000,""
"0057","pepita verde","ABARR","GR","",1000.00,0.00,10.00,0.00,72.57,72.57,0.00,0.000,""
"0058","polvo para hornear","ABARR","GR","",1000.00,0.00,10.00,0.00,92.27,92.27,0.00,0.000,""
"0059","sal amarilla","ABARR","GR","",1000.00,0.00,10.00,0.00,78.00,78.00,0.00,0.000,""
"0060","sal de grano","ABARR","GR","",1000.00,0.00,10.00,0.00,8.75,8.75,0.00,0.000,""
"0061","semilla girasol","ABARR","GR","",1000.00,0.00,10.00,0.00,47.62,47.62,0.00,0.000,""
"0062","vainilla liquida","ABARR","GR","",1000.00,0.00,10.00,0.00,43.96,43.96,0.00,0.000,""
"0063","vinagre de frambuesa","ABARR","GR","",1000.00,0.00,10.00,0.00,140.00,140.00,0.00,0.000,""
"0064","vino tinto cocina","ABARR","GR","",1000.00,0.00,10.00,0.00,56.30,56.30,0.00,0.000,""
"0065","galletas salmas","ABARR","GR","",1000.00,0.00,10.00,0.00,2.53,2.53,0.00,0.000,""
"0066","agua de garrafon","ABARR","GR","",1000.00,0.00,10.00,0.00,1.40,1.40,0.00,0.000,""
"0067","huevo","ABARR","GR","",1000.00,0.00,10.00,0.00,1.20,1.20,0.00,0.000,""
"0068","salsa bbq","ABARR","GR","",1000.00,0.00,10.00,0.00,56.04,56.04,0.00,0.000,""
"0069","pinguinos","ABARR","GR","",1000.00,0.00,10.00,0.00,3.06,3.06,0.00,0.000,""
"0070","salsa tabasco","ABARR","GR","",1000.00,0.00,10.00,0.00,723.33,723.33,0.00,0.000,""
"0071","condimix de pollo","ABARR","GR","",1000.00,0.00,10.00,0.00,92.01,92.01,0.00,0.000,""
"0072","mango en almibar","ABARR","GR","",1000.00,0.00,10.00,0.00,47.01,47.01,0.00,0.000,""
"0073","ate de guayaba","ABARR","GR","",1000.00,0.00,10.00,0.00,50.00,50.00,0.00,0.000,""
"0074","frijol negro","ABARR","GR","",1000.00,0.00,10.00,0.00,32.52,32.52,0.00,0.000,""
