codingre,descrip,familia,unidad,empaque,equivale,inventa1,stockmax,stockmin,ultcosto,costoprome,impuesto,pedido,status
A001,JARDIN,PRODU,gr,,1000,0,15,0,1.75,5.38,0,0,
A002,"ACEITE DE AJONJOLI",ABARR," M",,1000,1,15,0,60,59.97,0,14,pedido
A005,"ACEITE OLIVO",ABARR,ml,BIDON,3000,0,15,0,281.32,281.33,0,15,pedido
A006,"ACEITE VEGETAL",ABARR,ml,LITRO,20000,0.49,15,0,422,422,0,14.51,pedido
A008,"ACEITUNA VERDE",ABARR,gr,,450,2,15,0,59.5,59.51,0,13,pedido
A009,ACHIOTE,ABARR,GR,,1000,0,15,0,48.6,50.06,0,15,pedido
A015,ALCAPARRA,ABARR,gr,,605,2,15,0,85,70.93,0,13,pedido
A017,"ALMEJAS LATA",ABARR,gr,,396,0,15,0,30,29.77,0,15,pedido
A018,ANCHOAS,ABARR,gr,,80,1,15,0,31,31,0,14,pedido
A019,ARROZ,ABARR,gr,,1000,0,15,0,21.35,21.33,0,15,pedido
A021,"ATE DE MEMBRILLO",ABARR,GR,,700,1.5,15,0,25.78,25.68,0,13.5,pedido
A028,"AZUCAR MORENA",ABARR,gr,,1000,0,15,0,22.14,17.66,0,15,pedido
A029,"AZUCAR MOSCABADO",ABARR,gr,,1000,0,0,0,25,22.8,0,0,
A030,"AZUCAR REFINADA",ABARR,gr,,5000,2,15,0,15.94,15.95,0,13,pedido
A038,"CAFE SOLUBLE",ABARR,gr,,300,0,0,0,96.66,96.31,0,0,
A040,CAJETA,ABARR,gr,,1200,0,0,0,79.1,75.36,0,0,
A041,"CAJUN ESPECIAS",ABARR,gr,,1000,1,0,0,60,59.96,0,0,
A043,"CAMARON SECO",ABARR,gr,,1000,0,0,0,235,235.44,0,0,
A045,"CANELA POLVO",ABARR,gr,,510,1,0,0,83.58,59.96,0,0,
A048,"CEBOLLITAS CAMBRAY EN VIN",ABARR,gr,,180,0,0,0,13,6.5,0,0,
A050,"CEREZAS ALMIBAR",ABARR,gr,,950,0,15,0,142.2,142.22,0,15,pedido
A051,"CERVEZA COCINA LATA",ABARR,pz,,355,0,15,0,9.36,7.02,16,15,pedido
